;Messzeit;Losnummer;laufenden Z‰hler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_auﬂen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_auﬂen
;04.05.2022 13:47:17;;0196;Fehler;;1;27,423;45,947;;4,695;0,272
;04.05.2022 13:47:52;;0197;Fehler;;1;27,387;45,950;;4,697;0,280
;04.05.2022 13:48:24;;0198;Fehler;;1;27,357;45,952;;4,697;0,277
;04.05.2022 13:49:02;;0199;Fehler;;1;27,388;45,941;;4,695;0,269
;04.05.2022 13:49:35;;0200;Fehler;;1;27,414;45,947;;4,696;0,283
;04.05.2022 13:51:43;;0201;Fehler;;1;27,461;45,916;;4,686;0,306
;04.05.2022 13:52:17;;0202;Fehler;;1;27,615;45,897;;4,691;0,298
;04.05.2022 13:52:51;;0203;Fehler;;1;27,528;45,928;;4,692;0,338
;04.05.2022 13:53:24;;0204;Fehler;;1;27,470;45,956;;4,691;0,269
;04.05.2022 13:54:04;;0205;Fehler;;1;27,483;45,907;;4,689;0,320
;04.05.2022 13:54:36;;0206;Fehler;;1;27,431;45,953;;4,691;0,286
;04.05.2022 13:55:10;;0207;Fehler;;1;27,459;45,943;;4,692;0,310
;04.05.2022 13:55:49;;0208;Fehler;;1;27,458;45,925;;4,683;0,292
;04.05.2022 13:56:23;;0209;Fehler;;1;27,463;45,933;;4,692;0,249
;04.05.2022 13:56:54;;0210;Fehler;;1;27,477;45,929;;4,685;0,246
;04.05.2022 13:58:03;;0211;Fehler;;1;;45,897;;4,685;0,521
;04.05.2022 13:58:42;;0212;Fehler;;1;;45,940;;4,684;0,247
;04.05.2022 13:59:15;;0213;Fehler;;1;27,244;45,937;;4,685;0,270
;04.05.2022 13:59:52;;0214;Fehler;;1;27,564;45,917;;4,689;0,309
;04.05.2022 14:00:23;;0215;Fehler;;1;27,453;45,934;;4,683;0,289
;04.05.2022 14:01:00;;0216;Fehler;;1;27,443;45,952;;4,683;0,267
;04.05.2022 14:01:39;;0217;Fehler;;1;27,439;45,929;;4,682;0,308
;04.05.2022 14:02:13;;0218;Fehler;;1;27,419;45,928;;4,689;0,264
;04.05.2022 14:02:46;;0219;Fehler;;1;27,429;45,924;;4,680;0,257
;04.05.2022 14:03:21;;0220;Fehler;;1;27,433;45,902;;4,688;0,275
;04.05.2022 14:04:11;;0221;Fehler;;1;;45,960;;4,685;0,298
;04.05.2022 14:04:49;;0222;Fehler;;1;;45,917;;4,686;0,299
;04.05.2022 14:05:23;;0223;Fehler;;1;27,720;45,948;;4,692;0,306
;04.05.2022 14:06:04;;0224;Fehler;;1;27,533;45,914;;4,690;0,264
;04.05.2022 14:06:35;;0225;Fehler;;1;28,016;45,959;;4,684;0,297
;04.05.2022 14:07:06;;0226;Fehler;;1;27,449;45,948;;4,690;0,315
;04.05.2022 14:07:42;;0227;Fehler;;1;27,500;45,952;;4,695;0,308
;04.05.2022 14:08:17;;0228;Fehler;;1;27,386;45,927;;4,693;0,325
;04.05.2022 14:08:52;;0229;Fehler;;1;27,449;45,951;;4,693;0,309
;04.05.2022 14:09:27;;0230;Fehler;;1;26,912;45,945;;4,685;0,310
;04.05.2022 14:10:31;;0231;Fehler;;1;25,385;45,918;;4,696;0,262
;04.05.2022 14:11:08;;0232;Fehler;;1;30,626;45,942;;4,692;0,173
;04.05.2022 14:11:49;;0233;Fehler;;1;27,438;45,939;;4,698;0,291
;04.05.2022 14:12:22;;0234;Fehler;;1;27,436;45,960;;4,691;0,315
;04.05.2022 14:12:57;;0235;Fehler;;1;27,407;45,946;;4,693;0,292
;04.05.2022 14:13:29;;0236;Fehler;;1;27,410;45,957;;4,693;0,300
;04.05.2022 14:14:03;;0237;Fehler;;1;27,466;45,955;;4,703;0,300
;04.05.2022 14:14:48;;0238;Fehler;;1;27,403;45,917;;4,701;0,216
;04.05.2022 14:15:19;;0239;Fehler;;1;27,406;45,900;;4,699;0,441
;04.05.2022 14:15:51;;0240;Fehler;;1;27,417;45,927;;4,701;0,266
;04.05.2022 14:16:44;;0241;Fehler;;1;26,375;45,904;;4,679;0,292
;04.05.2022 14:17:25;;0242;Fehler;;1;29,766;45,895;;4,679;0,369
;04.05.2022 14:18:02;;0243;Fehler;;1;26,863;45,942;;4,680;0,322
;04.05.2022 14:18:33;;0244;Fehler;;1;27,923;45,941;;4,680;0,339
;04.05.2022 14:19:10;;0245;Fehler;;1;28,089;45,931;;4,675;0,305
;04.05.2022 14:19:45;;0246;Fehler;;1;27,489;45,926;;4,671;0,289
;04.05.2022 14:20:22;;0247;Fehler;;1;27,454;45,928;;4,682;0,321
;04.05.2022 14:20:54;;0248;Fehler;;1;27,463;45,927;;4,677;0,317
;04.05.2022 14:21:30;;0249;Fehler;;1;27,457;45,871;;4,682;0,270
;04.05.2022 14:22:04;;0250;Fehler;;1;27,453;45,910;;4,675;0,309
